date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:26	10737/10737	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:52%20GMT	http://broadmoorterrace.com/images/bldg-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/bldg-t.jpg	(from http://broadmoorterrace.com/)
23:02:29	12261/12261	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:08%20GMT	http://broadmoorterrace.com/images/park-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/park-t.jpg	(from http://broadmoorterrace.com/)
23:02:41	105847/105847	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:59%20GMT	http://broadmoorterrace.com/images/gate_new.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/gate_new.jpg	(from http://broadmoorterrace.com/)
23:02:43	9047/9047	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:54%20GMT	http://broadmoorterrace.com/images/cheyenne-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/cheyenne-t.jpg	(from http://broadmoorterrace.com/)
23:02:48	147014/147014	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:53%20GMT	http://broadmoorterrace.com/images/bldg.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/bldg.jpg	(from http://broadmoorterrace.com/)
23:02:50	11740/11740	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:01%20GMT	http://broadmoorterrace.com/images/genview2-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/genview2-t.jpg	(from http://broadmoorterrace.com/)
23:02:53	178550/178550	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:09%20GMT	http://broadmoorterrace.com/images/park.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/park.jpg	(from http://broadmoorterrace.com/)
23:02:54	157661/157661	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:55%20GMT	http://broadmoorterrace.com/images/cheyenne.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/cheyenne.jpg	(from http://broadmoorterrace.com/)
23:02:55	10402/10402	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:56%20GMT	http://broadmoorterrace.com/images/commons-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/commons-t.jpg	(from http://broadmoorterrace.com/)
23:02:57	10179/10179	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:11%20GMT	http://broadmoorterrace.com/images/pool-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/pool-t.jpg	(from http://broadmoorterrace.com/)
